onset	duration	sample	stimuli	name	response_time	value
7.4	0	7401	ALLIGATO	DIN1	874	1
11.9	0	11901	APPLE	DIN1	852	1
16.4	0	16401	ARM	DIN1	Rien	0
20.9	0	20901	Scrambled	DIN1	-1	1
26.4	0	26401	TELEVISI	DIN1	750	1
31.9	0	31901	Scrambled	DIN1	-1	1
36.4	0	36401	BEAR	DIN1	877	1
41.9	0	41901	BED	DIN1	692	1
46.4	0	46401	BELL	DIN1	1851	1
50.9	0	50901	BENCH	DIN1	1225	1
55.4	0	55401	Scrambled	DIN1	-1	1
60.9	0	60901	BRAIN	DIN1	874	1
66.399	0	66400	Scrambled	DIN1	-1	1
71.899	0	71900	CACTUS	DIN1	791	1
76.399	0	76400	CATERPIL	DIN1	850	1
80.899	0	80900	Scrambled	DIN1	-1	1
86.399	0	86400	Scrambled	DIN1	-1	1
90.899	0	90900	DINOSAUR	DIN1	778	1
96.399	0	96400	DOLPHIN	DIN1	806	1
101.899	0	101900	EAR	DIN1	675	1
106.399	0	106400	LADDER	DIN1	830	1
111.899	0	111900	Scrambled	DIN1	-1	1
117.399	0	117400	Scrambled	DIN1	-1	1
121.899	0	121900	Scrambled	DIN1	-1	1
126.399	0	126400	FOOT	DIN1	581	1
130.899	0	130900	FOX	DIN1	815	1
136.399	0	136400	GARBAGEC	DIN1	631	1
140.899	0	140900	Scrambled	DIN1	-1	1
146.399	0	146400	HAMMER	DIN1	774	1
150.899	0	150900	TURTLE	DIN1	851	1
155.399	0	155400	Scrambled	DIN1	-1	1
160.899	0	160900	HIPPOPOT	DIN1	1031	1
166.399	0	166400	HOUSE	DIN1	902	1
170.899	0	170900	IGLOO	DIN1	838	1
176.398	0	176399	JELLYFIS	DIN1	1020	1
180.898	0	180899	KANGAROO	DIN1	1056	1
186.399	0	186400	EYE	DIN1	888	1
191.898	0	191899	Scrambled	DIN1	-1	1
196.398	0	196399	LAMP	DIN1	727	1
201.898	0	201899	Scrambled	DIN1	-1	1
207.398	0	207399	WHALE	DIN1	986	1
212.898	0	212899	Scrambled	DIN1	-1	1
217.398	0	217399	MOTORCYC	DIN1	789	1
222.898	0	222899	MOUNTAIN	DIN1	719	1
228.398	0	228399	MOUSE	DIN1	686	1
233.898	0	233899	MUSHROOM	DIN1	627	1
239.398	0	239399	NOSE	DIN1	673	1
244.898	0	244899	Scrambled	DIN1	-1	1
250.398	0	250399	PANDA	DIN1	957	1
254.898	0	254899	PANTS	DIN1	677	1
260.398	0	260399	PYRAMID	DIN1	773	1
264.898	0	264899	RABBIT	DIN1	556	1
270.398	0	270399	Scrambled	DIN1	-1	1
275.898	0	275899	ROPE	DIN1	882	1
281.398	0	281399	Scrambled	DIN1	-1	1
285.898	0	285899	SCISSORS	DIN1	952	1
291.398	0	291399	SCORPION	DIN1	1164	1
295.897	0	295898	Scrambled	DIN1	-1	1
300.397	0	300398	SHARK	DIN1	938	1
305.897	0	305898	SKELETON	DIN1	735	1
310.397	0	310398	SNAIL	DIN1	808	1
315.897	0	315898	SNAKE	DIN1	700	1
320.397	0	320398	SPIDER	DIN1	845	1
325.897	0	325898	Scrambled	DIN1	-1	1
331.397	0	331398	STARFISH	DIN1	804	1
336.897	0	336898	Scrambled	DIN1	-1	1
341.397	0	341398	SUITCASE	DIN1	904	1
346.897	0	346898	SWING	DIN1	1339	1
351.397	0	351398	TABLE	DIN1	801	1
355.897	0	355898	SEAHORSE	DIN1	Rien	0
361.397	0	361398	TENNISRA	DIN1	1058	1
366.897	0	366898	THUMB	DIN1	913	1
371.397	0	371398	Scrambled	DIN1	-1	1
375.897	0	375898	TRACTOR	DIN1	1259	1
381.397	0	381398	Scrambled	DIN1	-1	1
386.897	0	386898	HAND	DIN1	1104	1
391.397	0	391398	VASE	DIN1	932	1
396.897	0	396898	LIZARD	DIN1	Rien	0
401.397	0	401398	WINDMILL	DIN1	673	1
405.897	0	405898	ZEBRA	DIN1	732	1
410.397	0	410398	Scrambled	DIN1	-1	1
415.896	0	415897	Scrambled	DIN1	-1	1
421.396	0	421397	LEG	DIN1	885	1
425.896	0	425897	Scrambled	DIN1	-1	1
430.396	0	430397	BUTTERFL	DIN1	693	1
435.896	0	435897	Scrambled	DIN1	-1	1
440.396	0	440397	Scrambled	DIN1	-1	1
445.896	0	445897	LLAMA	DIN1	1314	1
451.396	0	451397	Scrambled	DIN1	-1	1
456.896	0	456897	BALLOON	DIN1	825	1
462.396	0	462397	TIGER	DIN1	1045	1
466.896	0	466897	Scrambled	DIN1	-1	1
471.396	0	471397	TREE	DIN1	866	1
476.896	0	476897	LADYBUG	DIN1	808	1
481.396	0	481397	AXE	DIN1	886	1
485.896	0	485897	BINOCULA	DIN1	794	1
490.396	0	490397	Scrambled	DIN1	-1	1
494.896	0	494897	Scrambled	DIN1	-1	1
499.396	0	499397	STRAWBER	DIN1	732	1
504.896	0	504897	PALMTREE	DIN1	840	1
510.396	0	510397	Scrambled	DIN1	-1	1
514.895	0	514896	Scrambled	DIN1	-1	1
520.395	0	520396	Scrambled	DIN1	-1	1
524.896	0	524897	ROCKET	DIN1	898	1
529.396	0	529397	FEATHER	DIN1	778	1
533.895	0	533896	Scrambled	DIN1	-1	1
539.395	0	539396	GIRAFFE	DIN1	699	1
543.895	0	543896	Scrambled	DIN1	-1	1
548.395	0	548396	Scrambled	DIN1	-1	1
552.895	0	552896	CHIMNEY	DIN1	795	1
558.395	0	558396	Scrambled	DIN1	-1	1
562.895	0	562896	SQUIRREL	DIN1	648	1
568.395	0	568396	Scrambled	DIN1	-1	1
572.895	0	572896	BALL	DIN1	858	1
578.395	0	578396	CRAB	DIN1	814	1
582.895	0	582896	FISH	DIN1	998	1
587.395	0	587396	FLAG	DIN1	646	1
591.895	0	591896	Scrambled	DIN1	-1	1
597.395	0	597396	HANGER	DIN1	706	1
601.895	0	601896	rugbybal	DIN1	1374	1